Id 	 gr 	 gf 	 gl 	 r 	 prop phase 1 	 prop phase 2 	 prop phase 3 
phaseproportion_mechadapt55_	2.0	0.0	50.0	0.36250000000000004	1.0	0.0	0.0
phaseproportion_mechadapt185_	2.0	0.0	50.0	1.609375	0.1076923076923077	0.7769230769230769	0.11538461538461539
phaseproportion_mechadapt128_	2.0	0.0	50.0	1.03125	0.3153846153846154	0.4307692307692308	0.25384615384615383
phaseproportion_mechadapt250_	2.0	0.0	50.0	3.515625	0.0	1.0	0.0
phaseproportion_mechadapt53_	2.0	0.0	50.0	0.9625000000000001	0.35384615384615387	0.3769230769230769	0.2692307692307692
phaseproportion_mechadapt98_	2.0	0.0	50.0	0.83125	0.4153846153846154	0.3	0.2846153846153846
phaseproportion_mechadapt123_	2.0	0.0	50.0	0.5062500000000001	0.7384615384615385	0.08461538461538462	0.17692307692307693
phaseproportion_mechadapt129_	2.0	0.0	50.0	1.046875	0.3076923076923077	0.4461538461538462	0.24615384615384617
phaseproportion_mechadapt222_	2.0	0.0	50.0	4.203125	0.0	1.0	0.0
phaseproportion_mechadapt104_	2.0	0.0	50.0	0.38125000000000003	0.9923076923076923	0.0	0.007692307692307693
phaseproportion_mechadapt181_	2.0	0.0	50.0	2.859375	0.0	0.9923076923076923	0.007692307692307693
phaseproportion_mechadapt5_	2.0	0.0	50.0	0.9000000000000001	0.38461538461538464	0.3230769230769231	0.2923076923076923
phaseproportion_mechadapt219_	2.0	0.0	50.0	4.703125	0.0	1.0	0.0
phaseproportion_mechadapt165_	2.0	0.0	50.0	2.734375	0.0	0.9923076923076923	0.007692307692307693
phaseproportion_mechadapt122_	2.0	0.0	50.0	0.90625	0.38461538461538464	0.3153846153846154	0.3
phaseproportion_mechadapt0_	2.0	0.0	50.0	0.2	1.0	0.0	0.0
phaseproportion_mechadapt127_	2.0	0.0	50.0	1.0	0.3384615384615385	0.4	0.26153846153846155
phaseproportion_mechadapt247_	2.0	0.0	50.0	3.765625	0.0	1.0	0.0
phaseproportion_mechadapt182_	2.0	0.0	50.0	4.859375	0.0	1.0	0.0
phaseproportion_mechadapt111_	2.0	0.0	50.0	0.28125	1.0	0.0	0.0
phaseproportion_mechadapt58_	2.0	0.0	50.0	0.9125000000000001	0.3769230769230769	0.3230769230769231	0.3
phaseproportion_mechadapt121_	2.0	0.0	50.0	0.70625	0.4846153846153846	0.24615384615384617	0.2692307692307692
phaseproportion_mechadapt141_	2.0	0.0	50.0	2.296875	0.0	0.9692307692307692	0.03076923076923077
phaseproportion_mechadapt143_	2.0	0.0	50.0	3.296875	0.0	1.0	0.0
phaseproportion_mechadapt14_	2.0	0.0	50.0	0.65	0.5153846153846153	0.24615384615384617	0.23846153846153847
phaseproportion_mechadapt215_	2.0	0.0	50.0	3.953125	0.0	1.0	0.0
phaseproportion_mechadapt154_	2.0	0.0	50.0	3.671875	0.0	1.0	0.0
